,Year,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Total Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current",Total Non-Current Liabilities,Total Equity,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,Changes in Operating Capital,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental",Gross Profit,Total Revenue,Business Revenue,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Pretax Income,Net Income before Extraordinary Items and Discontinued Operations,Diluted Net Income Available to Common Stockholders,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO,Tiker
0,2013,111057000.0,77936000.0,29976000.0,22006000.0,33121000.0,47980000.0,39057000.0,18908000.0,15314000.0,8923000.0,63077000.0,-6552000.0,-6552000.0,-6552000.0,-1406000.0,4969000.0,-10115000.0,-17736000.0,-17736000.0,35368000.0,35368000.0,22006000.0,11080000.0,10723000.0,0.0,11283000.0,23028000.0,78424000.0,78424000.0,15000.0,-1421000.0,-1406000.0,-1406000.0,-1406000.0,-0.14,-0.14,9964955.0,9964955.0,AAOI
1,2014,183670000.0,113239000.0,40364000.0,32175000.0,70431000.0,68658000.0,48601000.0,36403000.0,31181000.0,20057000.0,115012000.0,7242000.0,7242000.0,7242000.0,4283000.0,9183000.0,-6224000.0,-45388000.0,-45388000.0,47250000.0,47250000.0,32175000.0,9104000.0,22006000.0,0.0,10169000.0,44246000.0,130449000.0,130449000.0,5409000.0,-927000.0,4482000.0,4283000.0,4283000.0,0.3,0.28,14307477.0,15186961.0,AAOI
2,2015,273475000.0,153928000.0,35960000.0,28074000.0,119547000.0,108077000.0,74080000.0,37537000.0,29040000.0,33997000.0,165398000.0,-15212000.0,-15212000.0,-15212000.0,10793000.0,16916000.0,-42921000.0,-61620000.0,-61620000.0,73114000.0,73114000.0,28074000.0,-3718000.0,32175000.0,0.0,-4101000.0,60453000.0,189903000.0,189903000.0,13666000.0,-2498000.0,11168000.0,10793000.0,10793000.0,0.69,0.65,15626753.0,16532850.0,AAOI
3,2016,322318000.0,157552000.0,50268000.0,50224000.0,164766000.0,94934000.0,59973000.0,49977000.0,37956000.0,34961000.0,227384000.0,57104000.0,57104000.0,57104000.0,31234000.0,9491000.0,16379000.0,-41543000.0,-41543000.0,4642000.0,4642000.0,50224000.0,20203000.0,28074000.0,0.0,22150000.0,86954000.0,260713000.0,260713000.0,23184000.0,-2181000.0,21003000.0,31234000.0,31234000.0,1.82,1.76,17201731.0,17712928.0,AAOI
4,2017,452984000.0,229697000.0,82972000.0,82936000.0,223287000.0,119708000.0,70708000.0,67673000.0,51997000.0,49000000.0,333276000.0,84284000.0,84284000.0,84284000.0,73951000.0,30355000.0,-20022000.0,-70159000.0,-70159000.0,18244000.0,18244000.0,83948000.0,32369000.0,51964000.0,0.0,31984000.0,166280000.0,382329000.0,382329000.0,87162000.0,-2636000.0,84526000.0,73951000.0,73951000.0,3.87,3.67,19097355.0,20139105.0,AAOI
5,2018,466840000.0,194275000.0,55646000.0,55646000.0,272565000.0,137746000.0,77418000.0,45913000.0,30998000.0,60328000.0,329094000.0,14029000.0,14029000.0,14029000.0,-2146000.0,38521000.0,-22346000.0,-76514000.0,-76514000.0,34803000.0,34803000.0,58004000.0,-27682000.0,83948000.0,0.0,-25944000.0,87773000.0,267465000.0,267465000.0,-9834000.0,56000.0,-9778000.0,-2146000.0,-2146000.0,-0.11,-0.11,19646646.0,19646646.0,AAOI
6,2019,466825000.0,192804000.0,59977000.0,59977000.0,274021000.0,193031000.0,91355000.0,48092000.0,35251000.0,101676000.0,273794000.0,-1754000.0,-1754000.0,-1754000.0,-66049000.0,57822000.0,6473000.0,-32116000.0,-32116000.0,42596000.0,42596000.0,67028000.0,8726000.0,58004000.0,0.0,9024000.0,46201000.0,190872000.0,190872000.0,-47133000.0,-4254000.0,-51387000.0,-66049000.0,-66049000.0,-3.31,-3.31,19982363.0,19982363.0,AAOI
7,2020,480805000.0,209169000.0,43425000.0,43425000.0,271636000.0,202914000.0,103148000.0,44633000.0,30989000.0,99766000.0,277891000.0,-44009000.0,-44009000.0,-44009000.0,-58452000.0,48852000.0,-34409000.0,-19347000.0,-19347000.0,47441000.0,47441000.0,50114000.0,-15915000.0,67028000.0,0.0,-16914000.0,50541000.0,234623000.0,234623000.0,-46134000.0,-5090000.0,-51224000.0,-58452000.0,-58452000.0,-2.67,-2.67,21866630.0,21866630.0,AAOI
8,2021,454459000.0,194079000.0,34656000.0,34656000.0,260380000.0,199889000.0,108957000.0,46323000.0,37774000.0,90932000.0,254570000.0,-11644000.0,-11644000.0,-11644000.0,-54162000.0,36561000.0,5957000.0,-10546000.0,-10546000.0,14088000.0,14088000.0,41137000.0,-8102000.0,50115000.0,0.0,-8978000.0,37715000.0,211565000.0,211565000.0,-55421000.0,1261000.0,-54160000.0,-54162000.0,-54162000.0,-2.01,-2.01,26912141.0,26912141.0,AAOI
9,2022,408263000.0,183164000.0,24685000.0,24685000.0,225099000.0,223593000.0,138582000.0,61586000.0,50030000.0,85011000.0,184670000.0,-14022000.0,-14022000.0,-14022000.0,-66397000.0,40470000.0,11905000.0,-3834000.0,-3834000.0,10753000.0,10754000.0,35587000.0,-7103000.0,41136000.0,0.0,-5550000.0,33627000.0,222818000.0,222818000.0,-58838000.0,-7558000.0,-66396000.0,-66397000.0,-66397000.0,-2.38,-2.38,27846387.0,27846387.0,AAOI
10,2014,231839000000.0,68531000000.0,25077000000.0,13844000000.0,163308000000.0,120292000000.0,63448000000.0,37885000000.0,31405000000.0,56844000000.0,111547000000.0,59713000000.0,59713000000.0,59713000000.0,39510000000.0,13156000000.0,7047000000.0,-22579000000.0,-22579000000.0,-37549000000.0,-37549000000.0,13844000000.0,-415000000.0,14259000000.0,0.0,-415000000.0,70537000000.0,182795000000.0,182795000000.0,52503000000.0,980000000.0,53483000000.0,39510000000.0,39510000000.0,1.62,1.61,24342288000.0,24490652000.0,AAPL
11,2015,290479000000.0,89378000000.0,41601000000.0,21120000000.0,201101000000.0,171124000000.0,80610000000.0,60671000000.0,35490000000.0,90514000000.0,119355000000.0,81266000000.0,81266000000.0,81266000000.0,53394000000.0,16225000000.0,11647000000.0,-56274000000.0,-56274000000.0,-17716000000.0,-17716000000.0,21120000000.0,7276000000.0,13844000000.0,0.0,7276000000.0,93626000000.0,233715000000.0,233715000000.0,71230000000.0,1285000000.0,72515000000.0,53394000000.0,53394000000.0,2.32,2.31,23013684000.0,23172276000.0,AAPL
12,2016,321686000000.0,106869000000.0,67155000000.0,20484000000.0,214817000000.0,193437000000.0,79006000000.0,59321000000.0,37294000000.0,114431000000.0,128249000000.0,65824000000.0,65824000000.0,65824000000.0,45687000000.0,19653000000.0,484000000.0,-45977000000.0,-45977000000.0,-20483000000.0,-20483000000.0,20484000000.0,-636000000.0,21120000000.0,0.0,-636000000.0,84263000000.0,215639000000.0,215639000000.0,60024000000.0,1348000000.0,61372000000.0,45687000000.0,45687000000.0,2.09,2.08,21883280000.0,22001124000.0,AAPL
13,2017,375319000000.0,128645000000.0,74181000000.0,20289000000.0,246674000000.0,241272000000.0,100814000000.0,74793000000.0,49049000000.0,140458000000.0,134047000000.0,63598000000.0,63598000000.0,63598000000.0,48351000000.0,20797000000.0,-5550000000.0,-46446000000.0,-46446000000.0,-17347000000.0,-17347000000.0,20289000000.0,-195000000.0,20484000000.0,0.0,-195000000.0,88186000000.0,229234000000.0,229234000000.0,61344000000.0,2745000000.0,64089000000.0,48351000000.0,48351000000.0,2.32,2.3,20868968000.0,21006768000.0,AAPL
14,2018,365725000000.0,131339000000.0,66301000000.0,25913000000.0,234386000000.0,258578000000.0,116866000000.0,55888000000.0,55888000000.0,141712000000.0,107147000000.0,77434000000.0,77434000000.0,77434000000.0,59531000000.0,-16791000000.0,34694000000.0,16066000000.0,16066000000.0,-87876000000.0,-87876000000.0,25913000000.0,5624000000.0,20289000000.0,0.0,5624000000.0,101839000000.0,265595000000.0,265595000000.0,70898000000.0,2005000000.0,72903000000.0,59531000000.0,59531000000.0,3.0,2.98,19821508000.0,20000436000.0,AAPL
15,2019,338516000000.0,162819000000.0,100557000000.0,48844000000.0,175697000000.0,248028000000.0,105718000000.0,46236000000.0,46236000000.0,142310000000.0,90488000000.0,69391000000.0,69391000000.0,69391000000.0,55256000000.0,17623000000.0,-3488000000.0,45896000000.0,45896000000.0,-90976000000.0,-90976000000.0,50224000000.0,24311000000.0,25913000000.0,0.0,24311000000.0,98392000000.0,260174000000.0,260174000000.0,63930000000.0,1807000000.0,65737000000.0,55256000000.0,55256000000.0,2.99,2.97,18471336000.0,18595652000.0,AAPL
16,2020,323888000000.0,143713000000.0,90943000000.0,38016000000.0,180175000000.0,258549000000.0,105392000000.0,42296000000.0,42296000000.0,153157000000.0,65339000000.0,80674000000.0,80674000000.0,80674000000.0,57411000000.0,17573000000.0,5690000000.0,-4289000000.0,-4289000000.0,-86820000000.0,-86820000000.0,39789000000.0,-10435000000.0,50224000000.0,0.0,-10435000000.0,104956000000.0,274515000000.0,274515000000.0,66288000000.0,803000000.0,67091000000.0,57411000000.0,57411000000.0,3.31,3.28,17352119000.0,17528214000.0,AAPL
17,2021,351002000000.0,134836000000.0,62639000000.0,34940000000.0,216166000000.0,287912000000.0,125481000000.0,54763000000.0,54763000000.0,162431000000.0,63090000000.0,104038000000.0,104038000000.0,104038000000.0,94680000000.0,14269000000.0,-4911000000.0,-14545000000.0,-14545000000.0,-93353000000.0,-93353000000.0,35929000000.0,-3860000000.0,39789000000.0,0.0,-3860000000.0,152836000000.0,365817000000.0,365817000000.0,108949000000.0,258000000.0,109207000000.0,94680000000.0,94680000000.0,5.67,5.61,16701272000.0,16864919000.0,AAPL
18,2022,352755000000.0,135405000000.0,48304000000.0,23646000000.0,217350000000.0,302083000000.0,153982000000.0,64115000000.0,64115000000.0,148101000000.0,50672000000.0,122151000000.0,122151000000.0,122151000000.0,99803000000.0,21148000000.0,1200000000.0,-22354000000.0,-22354000000.0,-110749000000.0,-110749000000.0,24977000000.0,-10952000000.0,35929000000.0,0.0,-10952000000.0,170782000000.0,394328000000.0,394328000000.0,119437000000.0,-334000000.0,119103000000.0,99803000000.0,99803000000.0,6.15,6.11,16215963000.0,16325819000.0,AAPL
19,2023,352583000000.0,143566000000.0,61555000000.0,29965000000.0,209017000000.0,290437000000.0,145308000000.0,62611000000.0,62611000000.0,145129000000.0,62146000000.0,110543000000.0,110543000000.0,110543000000.0,96995000000.0,20125000000.0,-6577000000.0,3705000000.0,3705000000.0,-108488000000.0,-108488000000.0,30737000000.0,5760000000.0,24977000000.0,0.0,5760000000.0,169148000000.0,383285000000.0,383285000000.0,114301000000.0,-565000000.0,113736000000.0,96995000000.0,96995000000.0,6.16,6.13,15744231000.0,15812547000.0,AAPL
20,2018,6613089000.0,5874532000.0,3329308000.0,2140877000.0,738557000.0,7130397000.0,3736010000.0,2601203000.0,2535542000.0,3394387000.0,-517308000.0,595557000.0,595557000.0,595557000.0,-16860000.0,191388000.0,421029000.0,-668171000.0,-668171000.0,140516000.0,140516000.0,4438576000.0,67902000.0,4529593000.0,0.0,-91017000.0,2787953000.0,3651985000.0,3651985000.0,18744000.0,28289000.0,47033000.0,-16860000.0,-16860000.0,-0.03,-0.03,530945000.0,530945000.0,ABNB
21,2019,8310119000.0,6561443000.0,3074273000.0,2013547000.0,1748676000.0,9117804000.0,5233764000.0,3598564000.0,3504336000.0,3884040000.0,-807685000.0,222727000.0,222727000.0,222727000.0,-674339000.0,276684000.0,620382000.0,-347155000.0,-347155000.0,854579000.0,854579000.0,5143443000.0,730151000.0,4438576000.0,0.0,704867000.0,3608926000.0,4805239000.0,4805239000.0,-501543000.0,89840000.0,-411703000.0,-674339000.0,-674339000.0,-1.29,-1.29,521709000.0,521709000.0,ABNB
22,2020,10491499000.0,8916386000.0,6391257000.0,5480557000.0,1575113000.0,7589716000.0,5139779000.0,2451921000.0,2426484000.0,2449937000.0,2901783000.0,-629732000.0,-629732000.0,-629732000.0,-4584716000.0,4239594000.0,-284610000.0,79590000.0,79590000.0,2940814000.0,2940814000.0,7668252000.0,2390672000.0,5143443000.0,0.0,2524809000.0,2502157000.0,3378199000.0,3378199000.0,-3438792000.0,-1243146000.0,-4681938000.0,-4584716000.0,-4584716000.0,-16.12,-16.12,284363000.0,284363000.0,ABNB
23,2021,13708474000.0,12386380000.0,8322476000.0,6067438000.0,1322094000.0,8932761000.0,6359282000.0,4227978000.0,4168560000.0,2573479000.0,4775713000.0,2189694000.0,2189694000.0,2189694000.0,-352034000.0,1903805000.0,637923000.0,-1351955000.0,-1351955000.0,1431159000.0,1431159000.0,9727289000.0,2268898000.0,7668252000.0,0.0,2059037000.0,4835927000.0,5991760000.0,5991760000.0,542166000.0,-842373000.0,-300207000.0,-352034000.0,-352034000.0,-0.57,-0.57,615891000.0,615891000.0,ABNB
24,2022,16038000000.0,14861000000.0,9622000000.0,7378000000.0,1177000000.0,10478000000.0,7978000000.0,5338000000.0,5338000000.0,2500000000.0,5560000000.0,3430000000.0,3430000000.0,3430000000.0,1893000000.0,1218000000.0,319000000.0,-28000000.0,-28000000.0,-689000000.0,-689000000.0,12103000000.0,2713000000.0,9727000000.0,0.0,2376000000.0,6900000000.0,8399000000.0,8399000000.0,1891000000.0,98000000.0,1989000000.0,1893000000.0,1893000000.0,2.97,2.79,637000000.0,680000000.0,ABNB
25,2013,1681851000.0,436362000.0,95059000.0,95059000.0,1245489000.0,1138157000.0,345600000.0,100392000.0,100392000.0,792557000.0,543694000.0,138418000.0,138418000.0,138418000.0,63868000.0,90947000.0,-16397000.0,-410714000.0,-410714000.0,291640000.0,291640000.0,95059000.0,19344000.0,76329000.0,0.0,18730000.0,521089000.0,864928000.0,864928000.0,123048000.0,-29889000.0,93159000.0,63868000.0,63868000.0,0.54,0.53,117885000.0,120054000.0,ACIW
26,2014,1850700000.0,418268000.0,77301000.0,77301000.0,1432432000.0,1269295000.0,378816000.0,89668000.0,89668000.0,890479000.0,581405000.0,149026000.0,149026000.0,149026000.0,67560000.0,102087000.0,-20621000.0,-240690000.0,-240690000.0,78082000.0,78082000.0,77301000.0,-13582000.0,95059000.0,0.0,-17758000.0,561393000.0,1016149000.0,1016149000.0,138172000.0,-39403000.0,98769000.0,67560000.0,67560000.0,0.59,0.58,114798000.0,116771000.0,ACIW
27,2015,1990212000.0,388084000.0,102239000.0,102239000.0,1602128000.0,1335812000.0,390444000.0,83815000.0,83815000.0,945368000.0,654400000.0,183071000.0,183071000.0,183071000.0,85436000.0,114720000.0,-17085000.0,-199961000.0,-199961000.0,49563000.0,49563000.0,102239000.0,32673000.0,77301000.0,0.0,24938000.0,573678000.0,1045977000.0,1045977000.0,127948000.0,-14575000.0,113373000.0,85436000.0,85436000.0,0.73,0.72,117465000.0,118919000.0,ACIW
28,2016,1902295000.0,407991000.0,75753000.0,75753000.0,1494304000.0,1147378000.0,376366000.0,92776000.0,92776000.0,771012000.0,754917000.0,99830000.0,99830000.0,99830000.0,129535000.0,19679000.0,-49384000.0,129633000.0,129633000.0,-251076000.0,-251076000.0,75753000.0,-21613000.0,102239000.0,0.0,-26486000.0,560787000.0,1005701000.0,1005701000.0,69667000.0,115914000.0,185581000.0,129535000.0,129535000.0,1.1,1.09,117533000.0,118847000.0,ACIW
29,2017,1861639000.0,421821000.0,69710000.0,69710000.0,1439818000.0,1097042000.0,321782000.0,110124000.0,110124000.0,775260000.0,764597000.0,146197000.0,146197000.0,146197000.0,5135000.0,142288000.0,-1226000.0,-54414000.0,-54414000.0,-98148000.0,-98148000.0,69710000.0,-6365000.0,75753000.0,0.0,-6043000.0,571905000.0,1024191000.0,1024191000.0,84640000.0,-41068000.0,43572000.0,5135000.0,5135000.0,0.04,0.04,118059000.0,119444000.0,ACIW
30,2018,2122455000.0,566477000.0,148502000.0,148502000.0,1555978000.0,1074224000.0,296620000.0,96171000.0,96171000.0,777604000.0,1048231000.0,183932000.0,183932000.0,183932000.0,68921000.0,118620000.0,-3609000.0,-45360000.0,-45360000.0,-57704000.0,-57704000.0,148502000.0,80868000.0,69710000.0,0.0,78792000.0,579429000.0,1009780000.0,1009780000.0,125911000.0,-34112000.0,91799000.0,68921000.0,68921000.0,0.59,0.59,116057000.0,117632000.0,ACIW
31,2019,3257534000.0,920376000.0,121398000.0,121398000.0,2337158000.0,2127566000.0,611950000.0,52329000.0,52329000.0,1515616000.0,1129968000.0,137649000.0,137649000.0,137649000.0,67062000.0,162429000.0,-91842000.0,-830481000.0,-830481000.0,667223000.0,667223000.0,121398000.0,-25609000.0,148502000.0,0.0,-27104000.0,640841000.0,1258294000.0,1258294000.0,123756000.0,-51546000.0,72210000.0,67062000.0,67062000.0,0.58,0.57,116175000.0,118571000.0,ACIW
32,2020,3386903000.0,1154914000.0,165374000.0,165374000.0,2231989000.0,2180306000.0,905605000.0,53927000.0,53927000.0,1274701000.0,1206597000.0,336302000.0,336302000.0,336302000.0,72660000.0,207534000.0,56108000.0,-30699000.0,-30699000.0,-261570000.0,-261570000.0,165374000.0,44033000.0,121398000.0,0.0,43976000.0,671863000.0,1294322000.0,1294322000.0,144744000.0,-46118000.0,98626000.0,72660000.0,72660000.0,0.62,0.62,116397000.0,118079000.0,ACIW
33,2021,3158741000.0,937434000.0,122059000.0,122059000.0,2221307000.0,1913964000.0,754155000.0,54190000.0,54190000.0,1159809000.0,1244777000.0,220473000.0,220473000.0,220473000.0,127791000.0,180423000.0,-87741000.0,-45368000.0,-45368000.0,-256878000.0,-256878000.0,184142000.0,-81773000.0,265382000.0,0.0,-81240000.0,731727000.0,1370598000.0,1370598000.0,209897000.0,-34832000.0,175065000.0,127791000.0,127791000.0,1.09,1.08,117407000.0,118647000.0,ACIW
34,2022,3209895000.0,1114805000.0,124981000.0,124981000.0,2095090000.0,2016708000.0,858842000.0,60790000.0,60790000.0,1157866000.0,1193187000.0,143381000.0,143381000.0,143381000.0,142177000.0,138857000.0,-137653000.0,60246000.0,60246000.0,-171060000.0,-171060000.0,214672000.0,32567000.0,184142000.0,0.0,30530000.0,725830000.0,1421901000.0,1421901000.0,203835000.0,2800000.0,206635000.0,142177000.0,142177000.0,1.25,1.24,113700000.0,114238000.0,ACIW
35,2013,233549000.0,184908000.0,46290000.0,46290000.0,48641000.0,57547000.0,35460000.0,19868000.0,19868000.0,22087000.0,176002000.0,-15042000.0,-15042000.0,-15042000.0,-17144000.0,9342000.0,-7240000.0,485000.0,485000.0,15720000.0,15720000.0,46290000.0,1163000.0,44986000.0,0.0,1304000.0,67935000.0,195632000.0,195632000.0,-13451000.0,-2653000.0,-16104000.0,-17144000.0,-17144000.0,-0.64,-0.64,27217250.0,27217250.0,ACLS
36,2014,227654000.0,185135000.0,30753000.0,30753000.0,42519000.0,59302000.0,52098000.0,21801000.0,21801000.0,7204000.0,168352000.0,-16045000.0,-16045000.0,-16045000.0,-11266000.0,12484000.0,-17263000.0,-896000.0,-896000.0,2756000.0,2756000.0,30753000.0,-14185000.0,46290000.0,0.0,-15537000.0,70164000.0,203051000.0,203051000.0,-8040000.0,-2127000.0,-10167000.0,-11266000.0,-11266000.0,-0.4,-0.4,27862500.0,27862500.0,ACLS
37,2015,288280000.0,236453000.0,78889000.0,78889000.0,51827000.0,98020000.0,44368000.0,19992000.0,19992000.0,53652000.0,190260000.0,18259000.0,18259000.0,18259000.0,14678000.0,12944000.0,-9363000.0,-1830000.0,-1830000.0,31422000.0,31422000.0,78889000.0,47851000.0,30753000.0,0.0,48136000.0,101706000.0,301495000.0,301495000.0,20736000.0,-5531000.0,15205000.0,14678000.0,14678000.0,0.52,0.48,28594500.0,30229000.0,ACLS
38,2016,302231000.0,240729000.0,70791000.0,70791000.0,61502000.0,100776000.0,47731000.0,25236000.0,25236000.0,53045000.0,201455000.0,-8799000.0,-8799000.0,-8799000.0,11001000.0,10865000.0,-30665000.0,-2236000.0,-2236000.0,2430000.0,2430000.0,70791000.0,-8605000.0,78889000.0,0.0,-8098000.0,99598000.0,266980000.0,266980000.0,16905000.0,-5881000.0,11024000.0,11001000.0,11001000.0,0.38,0.36,29195000.0,30947000.0,ACLS
39,2017,488218000.0,339775000.0,133407000.0,133407000.0,148443000.0,134608000.0,79287000.0,32915000.0,32915000.0,55321000.0,353610000.0,56284000.0,56284000.0,56284000.0,126959000.0,-79546000.0,8871000.0,-7285000.0,-7285000.0,15070000.0,15070000.0,140880000.0,64069000.0,77655000.0,0.0,63225000.0,150247000.0,410561000.0,410561000.0,47842000.0,-4011000.0,43831000.0,126959000.0,126959000.0,4.11,3.8,30866000.0,33436000.0,ACLS
40,2018,548441000.0,396771000.0,177993000.0,177993000.0,151670000.0,140104000.0,84997000.0,36417000.0,36417000.0,55107000.0,408337000.0,46965000.0,46965000.0,46965000.0,45885000.0,26970000.0,-25890000.0,-4715000.0,-4715000.0,1186000.0,1186000.0,184902000.0,43436000.0,140880000.0,0.0,44022000.0,179636000.0,442575000.0,442575000.0,59959000.0,-5254000.0,54705000.0,45885000.0,45885000.0,1.42,1.35,32286000.0,34002000.0,ACLS
41,2019,548094000.0,375679000.0,139881000.0,139881000.0,172415000.0,128667000.0,68664000.0,25635000.0,25635000.0,60003000.0,419427000.0,-13594000.0,-13594000.0,-13594000.0,17034000.0,22969000.0,-53597000.0,-11969000.0,-11969000.0,-13408000.0,-13408000.0,146534000.0,-38971000.0,184902000.0,0.0,-38368000.0,144152000.0,342958000.0,342958000.0,24205000.0,-3283000.0,20922000.0,17034000.0,17034000.0,0.52,0.5,32559000.0,33828000.0,ACLS
42,2020,624624000.0,470791000.0,203479000.0,203479000.0,153833000.0,143022000.0,84431000.0,24667000.0,24667000.0,58591000.0,481602000.0,69703000.0,69703000.0,69703000.0,49982000.0,28637000.0,-8916000.0,-7266000.0,-7266000.0,-2387000.0,-2387000.0,204232000.0,60050000.0,146534000.0,0.0,57698000.0,198584000.0,474560000.0,474560000.0,58041000.0,-2155000.0,55886000.0,49982000.0,49982000.0,1.5,1.46,33257000.0,34128000.0,ACLS
43,2021,753240000.0,619246000.0,294923000.0,294923000.0,133994000.0,214281000.0,150140000.0,38912000.0,38912000.0,64141000.0,538959000.0,150190000.0,150190000.0,150190000.0,98650000.0,46897000.0,4643000.0,-8718000.0,-8718000.0,-52453000.0,-52453000.0,295680000.0,89019000.0,204232000.0,0.0,91448000.0,286445000.0,662428000.0,662428000.0,127325000.0,-6897000.0,120428000.0,98650000.0,98650000.0,2.94,2.88,33555000.0,34268000.0,ACLS
44,2022,1013641000.0,877645000.0,432166000.0,185595000.0,135996000.0,346385000.0,248132000.0,66650000.0,66650000.0,98253000.0,667256000.0,215607000.0,215607000.0,215607000.0,183079000.0,44138000.0,-11610000.0,-257254000.0,-257254000.0,-65480000.0,-65480000.0,186347000.0,-107127000.0,295680000.0,0.0,-109333000.0,401790000.0,919998000.0,919998000.0,212361000.0,-7476000.0,204885000.0,183079000.0,183079000.0,5.54,5.46,33043000.0,33542000.0,ACLS
45,2015,32151000.0,27948000.0,4401000.0,4401000.0,4203000.0,36630000.0,20567000.0,6241000.0,2577000.0,16063000.0,-4479000.0,2702000.0,2702000.0,2702000.0,7915000.0,-1849000.0,-3364000.0,-1371000.0,-1371000.0,2274000.0,2274000.0,4401000.0,3605000.0,1174000.0,0.0,3227000.0,14121000.0,31206000.0,31206000.0,4863000.0,527000.0,5390000.0,7915000.0,5380000.0,0.35,0.27,15411633.0,20259099.0,ACMR
46,2016,44467000.0,40347000.0,10119000.0,10119000.0,4120000.0,41982000.0,17069000.0,12082000.0,8708000.0,24913000.0,2485000.0,-3702000.0,-3702000.0,-3702000.0,2387000.0,2617000.0,-8706000.0,-810000.0,-810000.0,10554000.0,10554000.0,10119000.0,6042000.0,4401000.0,0.0,5718000.0,13329000.0,27371000.0,27371000.0,3490000.0,-508000.0,2982000.0,2387000.0,1031000.0,0.07,0.05,15411633.0,20259099.0,ACMR
47,2017,67891000.0,62914000.0,17681000.0,17681000.0,4977000.0,28034000.0,21817000.0,13489000.0,8301000.0,6217000.0,39857000.0,-8101000.0,-8101000.0,-8101000.0,-872000.0,2516000.0,-9745000.0,-23720000.0,-23720000.0,38720000.0,38720000.0,17681000.0,6899000.0,10119000.0,0.0,7562000.0,17225000.0,36506000.0,36506000.0,700000.0,-1025000.0,-325000.0,-872000.0,-318000.0,-0.02,-0.02,20596170.0,20596170.0,ACMR
48,2018,103047000.0,96028000.0,27124000.0,27124000.0,7019000.0,50723000.0,46140000.0,28276000.0,19816000.0,4583000.0,52324000.0,6909000.0,6909000.0,6909000.0,6574000.0,3252000.0,-2917000.0,-2071000.0,-2071000.0,5123000.0,5123000.0,27124000.0,9961000.0,17681000.0,0.0,9443000.0,34449000.0,74643000.0,74643000.0,6471000.0,909000.0,7380000.0,6574000.0,6574000.0,0.14,0.12,47365380.0,53736315.0,ACMR
49,2019,217703000.0,198396000.0,58261000.0,58261000.0,19307000.0,120382000.0,53502000.0,29265000.0,18659000.0,66880000.0,97321000.0,9403000.0,9403000.0,9403000.0,19458000.0,767000.0,-10822000.0,-5531000.0,-5531000.0,87445000.0,87445000.0,117859000.0,91317000.0,27124000.0,0.0,90735000.0,50654000.0,107524000.0,107524000.0,17791000.0,1149000.0,18940000.0,19458000.0,18894000.0,0.37,0.33,50401869.0,57406491.0,ACMR
50,2020,341257000.0,260656000.0,100005000.0,71766000.0,80601000.0,133087000.0,102908000.0,54439000.0,38290000.0,30179000.0,208170000.0,-13547000.0,-13547000.0,-13547000.0,21677000.0,1358000.0,-36582000.0,-69950000.0,-69950000.0,32834000.0,32834000.0,71766000.0,-50663000.0,117859000.0,0.0,-46093000.0,69599000.0,156624000.0,156624000.0,21492000.0,-2197000.0,19295000.0,21677000.0,18780000.0,0.34,0.3,54700083.0,63550407.0,ACMR
51,2021,1052179000.0,952934000.0,592565000.0,563067000.0,99245000.0,240514000.0,205939000.0,135621000.0,109865000.0,34575000.0,811665000.0,-40093000.0,-40093000.0,-40093000.0,42921000.0,386000.0,-83400000.0,-11280000.0,-11280000.0,538766000.0,538766000.0,563067000.0,487393000.0,71766000.0,0.0,491301000.0,114856000.0,259751000.0,259751000.0,38702000.0,4353000.0,43055000.0,42921000.0,37757000.0,0.65,0.58,57654708.0,65356716.0,ACMR
52,2022,1235500000.0,963806000.0,338652000.0,247951000.0,271694000.0,423329000.0,396214000.0,178559000.0,134875000.0,27115000.0,812171000.0,-62194000.0,-62194000.0,-62194000.0,50564000.0,19184000.0,-131942000.0,-265670000.0,-265670000.0,45871000.0,45871000.0,248451000.0,-281993000.0,563067000.0,0.0,-314616000.0,183615000.0,388832000.0,388832000.0,59035000.0,8327000.0,67362000.0,50564000.0,39263000.0,0.66,0.59,59235975.0,65341771.0,ACMR
53,2013,10380298000.0,4045929000.0,3173752000.0,834556000.0,6334369000.0,3655664000.0,1525648000.0,417209000.0,125934000.0,2130016000.0,6724634000.0,1151686000.0,1151686000.0,1151686000.0,289985000.0,699059000.0,162642000.0,-1177803000.0,-1177803000.0,-559138000.0,-559138000.0,834556000.0,-585255000.0,1425052000.0,0.0,-590496000.0,3468683000.0,4055240000.0,4055240000.0,449220000.0,-93079000.0,356141000.0,289985000.0,289985000.0,0.58,0.56,501372000.0,513476000.0,ADBE
